TINKLAS,OBT_PAVADINIMAS,OBJ_GV_TIPAS,OBJ_NUMERIS,P+,PL_T,P-
Klaipėdos regiono tinklas,Namas,G,316972,0.2597,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,10969912,0.3929,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,35282,0.006,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,Ne GV,25606366,,2022-04-30 00:00:00,
Klaipėdos regiono tinklas,Namas,Ne GV,316072,0.118,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Butas,N,26012284,0.3948,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,125290,0.1719,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,12255618,0.334,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Butas,G,589878,0.3799,2022-04-30 00:00:00,0.0021
Panevėžio regiono tinklas,Namas,G,388680,3.6544,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,26125344,2.8072,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,G,437704,1.1877,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,13474182,3.2562,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,14623900,0.4316,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Butas,N,151690,0.1356,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,142870,1.1591,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,396180,2.6135,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,Ne GV,23030040,0.0138,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,Ne GV,8960848,0.025,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,385018,1.3492,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,25682,0.114,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,318172,3.24,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Namas,N,21016110,1.0456,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,24453206,0.3631,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,N,20261178,0.2791,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,328256,0.6757,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,326216,0.5103,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Butas,Ne GV,454866,0.078,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,126430,0.167,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,G,434524,2.5522,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,132370,1.3424,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,15649992,0.4935,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,20042990,0.5261,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,Ne GV,26252618,,2022-04-30 00:00:00,
Vilniaus regiono tinklas,Butas,Ne GV,578418,0.086,2022-04-30 00:00:00,
Alytaus regiono tinklas,Namas,G,12897500,0.9361,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,G,12340338,1.09,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,25598374,0.45,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Butas,Ne GV,13335270,0.029,2022-04-30 00:00:00,
Klaipėdos regiono tinklas,Butas,N,3009726,0.1523,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,11000292,0.0963,2022-04-30 00:00:00,0.0001
Panevėžio regiono tinklas,Namas,G,11076442,0.4062,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,Ne GV,330836,0.106,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Butas,Ne GV,547458,0.143,2022-04-30 00:00:00,
Vilniaus regiono tinklas,Namas,G,435064,0.2582,2022-04-30 00:00:00,0.0016
Kauno regiono tinklas,Namas,G,143290,1.0195,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,384178,0.7714,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,Ne GV,457266,0.063,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,296930,0.5094,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Butas,N,8811624,0.6184,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Butas,Ne GV,588378,0.043,2022-04-30 00:00:00,
Alytaus regiono tinklas,Namas,G,51902,1.1019,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,15979074,0.1753,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,320514,1.0141,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,298250,0.1299,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,25656242,0.446,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Namas,G,11737936,6.1126,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,Ne GV,12331278,0.0,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,394020,0.3525,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,G,436864,0.2305,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,135670,0.9902,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,387300,0.3507,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,151870,0.1741,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,382138,0.8121,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,34622,0.106,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,18705356,0.1638,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,7638036,1.2228,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,300230,2.3519,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,59642,0.1,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Butas,N,15633112,0.0526,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,Ne GV,332156,0.178,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Namas,G,1380,0.6288,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,N,141730,0.5515,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,14769132,0.1721,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,21723576,3.1038,2022-04-30 00:00:00,0.0
Utenos regiono tinklas,Namas,G,394680,3.3199,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,12245478,0.4276,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,N,3738268,0.753,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,329216,0.2768,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,329996,0.7813,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,386940,3.3892,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,24402420,0.0828,2022-04-30 00:00:00,0.0032
Panevėžio regiono tinklas,Namas,G,17439990,0.2886,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,134710,0.1452,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,386040,3.8649,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,N,13296382,0.0469,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Namas,G,6300,0.3517,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,8805486,0.1446,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Butas,Ne GV,444964,0.041,2022-04-30 00:00:00,
Klaipėdos regiono tinklas,Namas,G,325434,0.4764,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,54782,0.0987,2022-04-30 00:00:00,
Kauno regiono tinklas,Namas,G,129010,0.3592,2022-04-30 00:00:00,0.0
Kauno regiono tinklas,Namas,G,22699532,0.3366,2022-04-30 00:00:00,0.0
Alytaus regiono tinklas,Butas,Ne GV,27722,0.08,2022-04-30 00:00:00,0.0
Vilniaus regiono tinklas,Namas,G,451386,0.7108,2022-04-30 00:00:00,0.0
Panevėžio regiono tinklas,Namas,G,16065108,0.5334,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,14661348,0.5925,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,Ne GV,24454074,0.2503,2022-04-30 00:00:00,0.0
Klaipėdos regiono tinklas,Namas,G,14581988,0.0732,2022-04-30 00:00:00,0.0